"subject","location","age","sex","condition","rating","cell","frequency","duration","effect","condition_simple","freq_A","freq_B","freq_C","freq_D","dur_A","dur_B","dur_C","dur_D"
11,"mt",NA,"","baseline",-1,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
12,"mt",NA,"","baseline",-1,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
13,"mt",NA,"","baseline",6,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
14,"mt",NA,"","baseline",-9,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
15,"mt",NA,"","baseline",-3,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
16,"mt",NA,"","baseline",5,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
17,"mt",NA,"","baseline",3,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
18,"mt",NA,"","baseline",-2,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
19,"mt",NA,"","baseline",2,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
20,"mt",NA,"","baseline",8,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
21,"mt",NA,"","baseline",3,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
22,"mt",NA,"","baseline",-4,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
23,"mt",NA,"","baseline",-9,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
24,"mt",NA,"","baseline",4,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
25,"mt",NA,"","baseline",2,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
26,"mt",NA,"","baseline",7,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
27,"mt",NA,"","baseline",5,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
28,"mt",NA,"","baseline",-5,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
29,"mt",NA,"","baseline",-2,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
30,"mt",NA,"","baseline",3,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
31,"mt",NA,"","baseline",8,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
32,"mt",NA,"","baseline",10,"A",36,800,"baseline","baseline","36","36","36","36","800","800","800","800"
