"subject","sex","birthYear"
"1","m","1986"
"2","m","1989"
"3","m","1983"
"4","f","1976"
"5","f","{}"
"6","f","1994"
"7","f","1983"
"8","m","{}"
"10","m","1982"
"11","f","1985"
"12","m","1993"
"13","m","1984"
"14","m","{}"
"15","f","1982"
"16","m","1990"
"17","m","1979"
"18","m","1972"
"19","m","1986"
"20","f","1977"
"21","m","1985"
"22","m","1979"
"23","f","1995"
"24","m","1990"
"25","m","1983"
"26","f","1991"
"27","f","1970"
"28","f","1978"
"29","f","1978"
"30","m","1984"
"31","f","1986"
"32","f","1984"
"33","f","1974"
"34","m","1990"
"35","m","1985"
"36","f","1994"
"37","m","1978"
"38","f","1989"
"39","f","1985"
"40","f","1992"
"41","m","1989"
"43","m","1988"
"44","f","1978"
"45","f","1986"
"46","f","1990"
"47","f","{}"
"48","m","1991"
