"cond_order","condition_num","subject","rating","condition","cell","few_many","adjusted","frequency","duration"
0,"9","1",5,"few_C_adj","C","few","yes","6","5400"
0,"10","2",-10,"many_C","C","many","no","54","900"
0,"15","3",5,"many_D_adj","D","many","yes","54","150"
0,"2","4",6,"many_A","A","many","no","54","900"
0,"11","5",3,"many_C_adj","C","many","yes","54","150"
0,"2","6",3,"many_A","A","many","no","54","900"
0,"4","7",5,"few_B","B","few","no","6","900"
0,"15","8",0,"many_D_adj","D","many","yes","54","150"
0,"12","9",6,"few_D","D","few","no","6","900"
0,"8","10",-3,"few_C","C","few","no","6","900"
0,"0","11",-6,"few_A","A","few","no","6","900"
0,"12","12",5,"few_D","D","few","no","6","900"
0,"13","13",-3,"few_D_adj","D","few","yes","6","5400"
0,"16","14",-8,"baseline","A","baseline","no","18","900"
0,"6","15",1,"many_B","B","many","no","54","900"
0,"0","16",-4,"few_A","A","few","no","6","900"
0,"13","17",9,"few_D_adj","D","few","yes","6","5400"
0,"0","18",-6,"few_A","A","few","no","6","900"
0,"12","19",-4,"few_D","D","few","no","6","900"
0,"0","20",9,"few_A","A","few","no","6","900"
0,"13","21",-5,"few_D_adj","D","few","yes","6","5400"
0,"8","22",3,"few_C","C","few","no","6","900"
0,"6","23",8,"many_B","B","many","no","54","900"
0,"14","24",7,"many_D","D","many","no","54","900"
0,"10","25",10,"many_C","C","many","no","54","900"
0,"3","26",10,"many_A_adj","A","many","yes","54","150"
0,"9","27",-9,"few_C_adj","C","few","yes","6","5400"
0,"9","28",5,"few_C_adj","C","few","yes","6","5400"
0,"7","29",-5,"many_B_adj","B","many","yes","54","150"
0,"14","30",-5,"many_D","D","many","no","54","900"
0,"1","31",-10,"few_A_adj","A","few","yes","6","5400"
0,"2","32",5,"many_A","A","many","no","54","900"
0,"10","33",-4,"many_C","C","many","no","54","900"
0,"9","34",6,"few_C_adj","C","few","yes","6","5400"
0,"5","35",-9,"few_B_adj","B","few","yes","6","5400"
0,"6","36",-2,"many_B","B","many","no","54","900"
0,"0","37",5,"few_A","A","few","no","6","900"
0,"3","38",8,"many_A_adj","A","many","yes","54","150"
0,"2","39",3,"many_A","A","many","no","54","900"
0,"0","40",8,"few_A","A","few","no","6","900"
0,"1","41",6,"few_A_adj","A","few","yes","6","5400"
0,"9","42",3,"few_C_adj","C","few","yes","6","5400"
0,"6","43",-10,"many_B","B","many","no","54","900"
1,"14","1",-3,"many_D","D","many","no","54","900"
1,"3","2",9,"many_A_adj","A","many","yes","54","150"
1,"3","3",-1,"many_A_adj","A","many","yes","54","150"
1,"14","4",5,"many_D","D","many","no","54","900"
1,"13","5",2,"few_D_adj","D","few","yes","6","5400"
1,"6","6",3,"many_B","B","many","no","54","900"
1,"3","7",8,"many_A_adj","A","many","yes","54","150"
1,"6","8",-7,"many_B","B","many","no","54","900"
1,"0","9",5,"few_A","A","few","no","6","900"
1,"3","10",4,"many_A_adj","A","many","yes","54","150"
1,"1","11",4,"few_A_adj","A","few","yes","6","5400"
1,"10","12",4,"many_C","C","many","no","54","900"
1,"7","13",-6,"many_B_adj","B","many","yes","54","150"
1,"15","14",-8,"many_D_adj","D","many","yes","54","150"
1,"11","15",4,"many_C_adj","C","many","yes","54","150"
1,"14","16",4,"many_D","D","many","no","54","900"
1,"3","17",7,"many_A_adj","A","many","yes","54","150"
1,"5","18",-2,"few_B_adj","B","few","yes","6","5400"
1,"3","19",3,"many_A_adj","A","many","yes","54","150"
1,"8","20",8,"few_C","C","few","no","6","900"
1,"4","21",8,"few_B","B","few","no","6","900"
1,"7","22",-5,"many_B_adj","B","many","yes","54","150"
1,"1","23",7,"few_A_adj","A","few","yes","6","5400"
1,"15","24",6,"many_D_adj","D","many","yes","54","150"
1,"2","25",10,"many_A","A","many","no","54","900"
1,"5","26",9,"few_B_adj","B","few","yes","6","5400"
1,"4","27",-4,"few_B","B","few","no","6","900"
1,"13","28",-1,"few_D_adj","D","few","yes","6","5400"
1,"16","29",-3,"baseline","A","baseline","no","18","900"
1,"11","30",6,"many_C_adj","C","many","yes","54","150"
1,"14","31",10,"many_D","D","many","no","54","900"
1,"4","32",-4,"few_B","B","few","no","6","900"
1,"0","33",-8,"few_A","A","few","no","6","900"
1,"16","34",-4,"baseline","A","baseline","no","18","900"
1,"0","35",-5,"few_A","A","few","no","6","900"
1,"4","36",4,"few_B","B","few","no","6","900"
1,"10","37",6,"many_C","C","many","no","54","900"
1,"7","38",8,"many_B_adj","B","many","yes","54","150"
1,"15","39",2,"many_D_adj","D","many","yes","54","150"
1,"7","40",6,"many_B_adj","B","many","yes","54","150"
1,"7","41",2,"many_B_adj","B","many","yes","54","150"
1,"16","42",-2,"baseline","A","baseline","no","18","900"
1,"11","43",-10,"many_C_adj","C","many","yes","54","150"
10,"7","1",-2,"many_B_adj","B","many","yes","54","150"
10,"0","2",9,"few_A","A","few","no","6","900"
10,"10","3",1,"many_C","C","many","no","54","900"
10,"11","4",2,"many_C_adj","C","many","yes","54","150"
10,"5","5",6,"few_B_adj","B","few","yes","6","5400"
10,"13","6",-2,"few_D_adj","D","few","yes","6","5400"
10,"9","7",10,"few_C_adj","C","few","yes","6","5400"
10,"12","8",-1,"few_D","D","few","no","6","900"
10,"16","9",-4,"baseline","A","baseline","no","18","900"
10,"0","10",-7,"few_A","A","few","no","6","900"
10,"4","11",-5,"few_B","B","few","no","6","900"
10,"15","12",4,"many_D_adj","D","many","yes","54","150"
10,"10","13",-7,"many_C","C","many","no","54","900"
10,"14","14",-9,"many_D","D","many","no","54","900"
10,"4","15",4,"few_B","B","few","no","6","900"
10,"13","16",-6,"few_D_adj","D","few","yes","6","5400"
10,"2","17",8,"many_A","A","many","no","54","900"
10,"14","18",9,"many_D","D","many","no","54","900"
10,"8","19",5,"few_C","C","few","no","6","900"
10,"9","20",5,"few_C_adj","C","few","yes","6","5400"
10,"5","21",7,"few_B_adj","B","few","yes","6","5400"
10,"10","22",3,"many_C","C","many","no","54","900"
10,"12","23",8,"few_D","D","few","no","6","900"
10,"9","24",-4,"few_C_adj","C","few","yes","6","5400"
10,"12","25",10,"few_D","D","few","no","6","900"
10,"16","26",9,"baseline","A","baseline","no","18","900"
10,"7","27",-9,"many_B_adj","B","many","yes","54","150"
10,"4","28",1,"few_B","B","few","no","6","900"
10,"3","29",4,"many_A_adj","A","many","yes","54","150"
10,"0","30",-3,"few_A","A","few","no","6","900"
10,"12","31",10,"few_D","D","few","no","6","900"
10,"1","32",5,"few_A_adj","A","few","yes","6","5400"
10,"1","33",-4,"few_A_adj","A","few","yes","6","5400"
10,"15","34",-8,"many_D_adj","D","many","yes","54","150"
10,"8","35",-2,"few_C","C","few","no","6","900"
10,"8","36",2,"few_C","C","few","no","6","900"
10,"14","37",6,"many_D","D","many","no","54","900"
10,"16","38",-2,"baseline","A","baseline","no","18","900"
10,"11","39",-7,"many_C_adj","C","many","yes","54","150"
10,"14","40",3,"many_D","D","many","no","54","900"
10,"2","41",0,"many_A","A","many","no","54","900"
10,"1","42",3,"few_A_adj","A","few","yes","6","5400"
10,"8","43",-10,"few_C","C","few","no","6","900"
11,"6","1",-4,"many_B","B","many","no","54","900"
11,"13","2",9,"few_D_adj","D","few","yes","6","5400"
11,"8","3",2,"few_C","C","few","no","6","900"
11,"10","4",3,"many_C","C","many","no","54","900"
11,"12","5",5,"few_D","D","few","no","6","900"
